reporterISO,partnerISO,period,cmdCode,qty,flowDesc,primaryValue
IT,USA,201410,24,111838146,export,208768199
IT,USA,201411,24,57832888,export,134337359
IT,USA,201412,24,86963422,export,208085538
IT,USA,201501,24,73277109,export,167316626
IT,USA,201502,24,51044910,export,153558195
IT,USA,201503,24,68644022,export,174648696
IT,USA,201504,24,75577500,export,189727324
IT,USA,201505,24,50530883,export,161059650
IT,USA,201506,24,35568179,export,141669788
IT,USA,201507,24,39775528,export,108302126
IT,USA,201508,24,45961388,export,59620014
IT,USA,201509,24,32974210,export,70117235
IT,USA,201510,24,36335776,export,72569717
IT,USA,201511,24,27433762,export,73728819
IT,USA,201512,24,41655715,export,70988784
IT,USA,201601,24,21086320,export,54364807
IT,USA,201602,24,34429366,export,77377959
IT,USA,201603,24,39558293,export,87981844
IT,USA,201604,24,23093322,export,70401544
IT,USA,201605,24,38081344,export,87171901
IT,USA,201606,24,42770420,export,74449930
IT,USA,201607,24,63392729,export,107284686
IT,USA,201608,24,58150155,export,71244725
IT,USA,201609,24,36087055,export,85022869
IT,USA,201610,24,53385402,export,83753812
IT,USA,201611,24,57817593,export,94938440
IT,USA,201612,24,32582995,export,92924809
IT,USA,201701,24,20481205,export,80610971
IT,USA,201702,24,30547996,export,88613901
IT,USA,201703,24,63672921,export,115117825
IT,USA,201704,24,31068421,export,75900456
IT,USA,201705,24,88623241,export,130905432
IT,USA,201706,24,69071958,export,112877918
IT,USA,201707,24,68188224,export,122387568
IT,USA,201708,24,45035689,export,66740864
IT,USA,201709,24,45499728,export,84075738
IT,USA,201710,24,51340505,export,96649080
IT,USA,201711,24,33594765,export,91753249
IT,USA,201712,24,42509935,export,92738912
IT,USA,201801,24,27899031,export,82249268
IT,USA,201802,24,56987267,export,106584489
IT,USA,201803,24,44104428,export,98257541
IT,USA,201804,24,58619734,export,111339246
IT,USA,201805,24,105408277,export,136038997
IT,USA,201806,24,110408411,export,128836362
IT,USA,201807,24,39779484,export,98228355
IT,USA,201808,24,63600927,export,81436753
IT,USA,201809,24,35492706,export,86791271
IT,USA,201810,24,79679734,export,135727703
IT,USA,201811,24,78366643,export,125739215
IT,USA,201812,24,114603208,export,142807582
IT,USA,201901,24,47759716,export,98794105
IT,USA,201902,24,67946228,export,125683983
IT,USA,201903,24,53536620,export,119559019
IT,USA,201904,24,60798311,export,109687374
IT,USA,201905,24,73139331,export,130799297
IT,USA,201906,24,34082842,export,99542501
IT,USA,201907,24,44207288,export,118777884
IT,USA,201908,24,33525744,export,68654281
IT,USA,201909,24,29489143,export,90994677
IT,USA,201910,24,38085982,export,108175784
IT,USA,201911,24,24127593,export,82027914
IT,USA,201912,24,19498222,export,74457571
IT,USA,202001,24,28577245,export,81977888
IT,USA,202002,24,21016811,export,111651725
IT,USA,202003,24,24160149,export,139252747
IT,USA,202004,24,18568289,export,48127991
IT,USA,202005,24,32413152,export,85990699
IT,USA,202006,24,15896377,export,75713186
IT,USA,202007,24,18414731,export,95204246
IT,USA,202008,24,11593907,export,39587380
IT,USA,202009,24,13570390,export,61011382
IT,USA,202010,24,18638015,export,93424361
IT,USA,202011,24,17697812,export,101439274
IT,USA,202012,24,34783106,export,82278426
IT,USA,202101,24,22032805,export,53787881
IT,USA,202102,24,15647136,export,70776776
IT,USA,202103,24,20752395,export,92761490
IT,USA,202104,24,27666488,export,92942040
IT,USA,202105,24,33807760,export,105780564
IT,USA,202106,24,47970837,export,120069713
IT,USA,202107,24,19769831,export,101523841
IT,USA,202108,24,17522404,export,59575127
IT,USA,202109,24,33813600,export,93902924
IT,USA,202110,24,12885394,export,84373216
IT,USA,202111,24,39540056,export,136785525
IT,USA,202112,24,39742257,export,148425114
IT,USA,202201,24,24521157,export,98830348
IT,USA,202202,24,30689399,export,132590704
IT,USA,202203,24,21861816,export,131763030
IT,USA,202204,24,55935668,export,215886316
IT,USA,202205,24,39180850,export,189053157
IT,USA,202206,24,27676264,export,172719440
IT,USA,202207,24,44132896,export,219396031
IT,USA,202208,24,47750394,export,137537360
IT,USA,202209,24,40817679,export,183385902
IT,USA,202210,24,53933307,export,231369989
IT,USA,202211,24,63659404,export,254325794
IT,USA,202212,24,51367754,export,212293004
IT,USA,202301,24,31530706,export,155192257
IT,USA,202302,24,59180508,export,234998561
IT,USA,202303,24,67359750,export,230755256
IT,USA,202304,24,44262061,export,196004235
IT,USA,202305,24,40597125,export,207961720
IT,USA,202306,24,46115439,export,201509125
IT,USA,202307,24,30779724,export,157529005
IT,USA,202308,24,19440995,export,100206507
IT,USA,202309,24,24759199,export,133406838
IT,USA,202310,24,34098219,export,152404240
IT,USA,202311,24,48326290,export,144360773
IT,USA,202312,24,27667771,export,136870112
IT,USA,202401,24,23440574,export,102993671
IT,USA,202402,24,28100522,export,130647946
IT,USA,202403,24,55670323,export,189454864
IT,USA,202404,24,30017486,export,149610031
IT,USA,202405,24,48547189,export,168564162
IT,USA,202406,24,19712030,export,122884183
IT,USA,202407,24,26998432,export,147584892
IT,USA,202408,24,25422717,export,85166139
IT,USA,202409,24,19176201,export,104033727
IT,USA,202410,24,31896234,export,134978800
IT,USA,202411,24,24384668,export,131386188
IT,USA,202412,24,31088324,export,143741370
IT,USA,202501,24,19054986,export,92753233
IT,USA,202502,24,45650564,export,146504322
IT,USA,202503,24,28500494,export,139814673
IT,USA,202504,24,28889327,export,161662367
IT,USA,202505,24,27559961,export,127691528
IT,USA,202506,24,22509564,export,100719736
IT,USA,202507,24,37120425,export,146875302
